
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2017-07-09


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 4.0
Magnitude Max:, 6.0
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 360.0
Vs30 Max (m/sec):, 760.0
D9-95 Min (sec):, 15.0
D9-95 Max (sec):, 60.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.01,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 4346
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 30
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 4346, 0.2759, 1.3071, -, 11.8, 21.3, 0.2, "Umbria Marche_ Italy", 1997, "Bevagna", 6.0, Normal, 18.86, 18.86, 401.34, 0.25, 1.3071, RSN4346_UBMARCHE.P_A-BEV000.AT2, RSN4346_UBMARCHE.P_A-BEV270.AT2 , RSN4346_UBMARCHE.P_A-BEV-DN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-4346 SRSS pSa (g)
0.01,0.15902141,0.14057801,0.14057801,0.14057801,0.14057801
0.02,0.19571865,0.14230767,0.14230767,0.14230767,0.14230767
0.022,0.20378672,0.14186095,0.14186095,0.14186095,0.14186095
0.025,0.21513252,0.14297568,0.14297568,0.14297568,0.14297568
0.029,0.22910027,0.14445485,0.14445485,0.14445485,0.14445485
0.03,0.2324159,0.14417718,0.14417718,0.14417718,0.14417718
0.032,0.24018692,0.14418929,0.14418929,0.14418929,0.14418929
0.035,0.25140973,0.14814305,0.14814305,0.14814305,0.14814305
0.036,0.25504499,0.14883369,0.14883369,0.14883369,0.14883369
0.04,0.26911315,0.14971466,0.14971466,0.14971466,0.14971466
0.042,0.27674115,0.14934158,0.14934158,0.14934158,0.14934158
0.044,0.2842155,0.15194569,0.15194569,0.15194569,0.15194569
0.045,0.28789818,0.15184937,0.15184937,0.15184937,0.15184937
0.046,0.29154607,0.15026459,0.15026459,0.15026459,0.15026459
0.048,0.29874172,0.14983003,0.14983003,0.14983003,0.14983003
0.05,0.3058104,0.15313545,0.15313545,0.15313545,0.15313545
0.055,0.3058104,0.16207247,0.16207247,0.16207247,0.16207247
0.06,0.3058104,0.17487234,0.17487234,0.17487234,0.17487234
0.065,0.3058104,0.16781169,0.16781169,0.16781169,0.16781169
0.067,0.3058104,0.17194412,0.17194412,0.17194412,0.17194412
0.07,0.3058104,0.17570257,0.17570257,0.17570257,0.17570257
0.075,0.3058104,0.19229836,0.19229836,0.19229836,0.19229836
0.08,0.3058104,0.2186917,0.2186917,0.2186917,0.2186917
0.085,0.3058104,0.21682786,0.21682786,0.21682786,0.21682786
0.09,0.3058104,0.20545018,0.20545018,0.20545018,0.20545018
0.095,0.3058104,0.21223177,0.21223177,0.21223177,0.21223177
0.1,0.3058104,0.22687489,0.22687489,0.22687489,0.22687489
0.11,0.3058104,0.27287947,0.27287947,0.27287947,0.27287947
0.12,0.3058104,0.24042701,0.24042701,0.24042701,0.24042701
0.13,0.3058104,0.3037245,0.3037245,0.3037245,0.3037245
0.133,0.3058104,0.3196406,0.3196406,0.3196406,0.3196406
0.14,0.3058104,0.33150838,0.33150838,0.33150838,0.33150838
0.15,0.3058104,0.25590126,0.25590126,0.25590126,0.25590126
