
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2017-10-04


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 4.0
Magnitude Max:, 5.0
Rrup Min (km):, 20.0
Rrup Max (km):, 30.0
Rjb Min (km):, 20.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 300.0
Vs30 Max (m/sec):, 400.0
D9-95 Min (sec):, 15.0
D9-95 Max (sec):, 60.0
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 0.01,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 20075 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 0.0833
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 20075, 0.2402, 127.8333, -, 15.5, 40.8, 0.0, "40199209", 2007, "Pleasanton; Lydiksen School Highland Oaks Dr; 1-story; ground level", 4.2, strike slip, 26.31, 26.5, 341.13, 0.1859674, 127.8333, RSN20075_40199209_1826HNN.AT2, RSN20075_40199209_1826HNE.AT2 , RSN20075_40199209_1826HNZ.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-20075 SRSS pSa (g)
0.01,0.15902141,0.11371668,0.11371668,0.11371668,0.11371668
0.02,0.19571865,0.11313574,0.11313574,0.11313574,0.11313574
0.022,0.20378672,0.11328954,0.11328954,0.11328954,0.11328954
0.025,0.21513252,0.11370749,0.11370749,0.11370749,0.11370749
0.029,0.22910027,0.11393074,0.11393074,0.11393074,0.11393074
0.03,0.2324159,0.11396037,0.11396037,0.11396037,0.11396037
0.032,0.24018692,0.1142592,0.1142592,0.1142592,0.1142592
0.035,0.25140973,0.11472218,0.11472218,0.11472218,0.11472218
0.036,0.25504499,0.11469073,0.11469073,0.11469073,0.11469073
0.04,0.26911315,0.11432978,0.11432978,0.11432978,0.11432978
0.042,0.27674115,0.11534044,0.11534044,0.11534044,0.11534044
0.044,0.2842155,0.11703621,0.11703621,0.11703621,0.11703621
0.045,0.28789818,0.11717846,0.11717846,0.11717846,0.11717846
0.046,0.29154607,0.11748757,0.11748757,0.11748757,0.11748757
0.048,0.29874172,0.11745275,0.11745275,0.11745275,0.11745275
0.05,0.3058104,0.11712569,0.11712569,0.11712569,0.11712569
0.055,0.3058104,0.12252682,0.12252682,0.12252682,0.12252682
0.06,0.3058104,0.13212789,0.13212789,0.13212789,0.13212789
0.065,0.3058104,0.13965121,0.13965121,0.13965121,0.13965121
0.067,0.3058104,0.14083292,0.14083292,0.14083292,0.14083292
0.07,0.3058104,0.14509685,0.14509685,0.14509685,0.14509685
0.075,0.3058104,0.14473162,0.14473162,0.14473162,0.14473162
0.08,0.3058104,0.14574898,0.14574898,0.14574898,0.14574898
0.085,0.3058104,0.16864205,0.16864205,0.16864205,0.16864205
0.09,0.3058104,0.18977988,0.18977988,0.18977988,0.18977988
0.095,0.3058104,0.20017541,0.20017541,0.20017541,0.20017541
0.1,0.3058104,0.2177491,0.2177491,0.2177491,0.2177491
0.11,0.3058104,0.26922711,0.26922711,0.26922711,0.26922711
0.12,0.3058104,0.31282062,0.31282062,0.31282062,0.31282062
0.13,0.3058104,0.35313017,0.35313017,0.35313017,0.35313017
0.133,0.3058104,0.37527686,0.37527686,0.37527686,0.37527686
0.14,0.3058104,0.38609794,0.38609794,0.38609794,0.38609794
0.15,0.3058104,0.43062738,0.43062738,0.43062738,0.43062738
0.16,0.3058104,0.43440379,0.43440379,0.43440379,0.43440379
0.17,0.3058104,0.39012754,0.39012754,0.39012754,0.39012754
0.18,0.3058104,0.35931875,0.35931875,0.35931875,0.35931875
0.19,0.3058104,0.34645015,0.34645015,0.34645015,0.34645015
0.2,0.3058104,0.3696333,0.3696333,0.3696333,0.3696333
0.22,0.3058104,0.31631731,0.31631731,0.31631731,0.31631731
0.24,0.3058104,0.26792867,0.26792867,0.26792867,0.26792867
0.25,0.3058104,0.26737078,0.26737078,0.26737078,0.26737078
0.26,0.3058104,0.24834985,0.24834985,0.24834985,0.24834985
0.28,0.3058104,0.24076104,0.24076104,0.24076104,0.24076104
0.29,0.3058104,0.22496361,0.22496361,0.22496361,0.22496361
0.3,0.3058104,0.2236839,0.2236839,0.2236839,0.2236839
0.32,0.28669725,0.19849703,0.19849703,0.19849703,0.19849703
0.34,0.2698327,0.2073182,0.2073182,0.2073182,0.2073182
0.35,0.2621232,0.21365707,0.21365707,0.21365707,0.21365707
0.36,0.254842,0.22247833,0.22247833,0.22247833,0.22247833
0.38,0.24142926,0.21991698,0.21991698,0.21991698,0.21991698
0.4,0.2293578,0.23207115,0.23207115,0.23207115,0.23207115
0.42,0.218436,0.23674887,0.23674887,0.23674887,0.23674887
0.44,0.20850709,0.23571927,0.23571927,0.23571927,0.23571927
0.45,0.2038736,0.24878085,0.24878085,0.24878085,0.24878085
0.46,0.19944156,0.26518451,0.26518451,0.26518451,0.26518451
0.48,0.1911315,0.30212322,0.30212322,0.30212322,0.30212322
0.5,0.18348624,0.34773413,0.34773413,0.34773413,0.34773413
0.55,0.16680567,0.38007748,0.38007748,0.38007748,0.38007748
0.6,0.1529052,0.29937533,0.29937533,0.29937533,0.29937533
0.65,0.14114326,0.20591328,0.20591328,0.20591328,0.20591328
0.667,0.13754591,0.19098288,0.19098288,0.19098288,0.19098288
0.7,0.1310616,0.22187128,0.22187128,0.22187128,0.22187128
0.75,0.12232416,0.23814178,0.23814178,0.23814178,0.23814178
0.8,0.1146789,0.21763703,0.21763703,0.21763703,0.21763703
0.85,0.10793308,0.1696375,0.1696375,0.1696375,0.1696375
0.9,0.1019368,0.1402324,0.1402324,0.1402324,0.1402324
0.95,0.0965717,0.13086213,0.13086213,0.13086213,0.13086213
1.0,0.09174312,0.12919725,0.12919725,0.12919725,0.12919725
1.1,0.08340284,0.11043883,0.11043883,0.11043883,0.11043883
1.2,0.0764526,0.09881649,0.09881649,0.09881649,0.09881649
1.3,0.07057163,0.07756694,0.07756694,0.07756694,0.07756694
1.4,0.0655308,0.08110258,0.08110258,0.08110258,0.08110258
1.5,0.06116208,0.08014867,0.08014867,0.08014867,0.08014867
1.6,0.05733945,0.07405297,0.07405297,0.07405297,0.07405297
1.7,0.05396654,0.07638866,0.07638866,0.07638866,0.07638866
1.8,0.0509684,0.07952873,0.07952873,0.07952873,0.07952873
1.9,0.04828585,0.08224737,0.08224737,0.08224737,0.08224737
2.0,0.04587156,0.07405873,0.07405873,0.07405873,0.07405873
2.2,0.04170142,0.05122587,0.05122587,0.05122587,0.05122587
2.4,0.0382263,0.04660314,0.04660314,0.04660314,0.04660314
2.5,0.03669725,0.04038523,0.04038523,0.04038523,0.04038523
2.6,0.03528582,0.03745721,0.03745721,0.03745721,0.03745721
2.8,0.0327654,0.03673154,0.03673154,0.03673154,0.03673154
3.0,0.03058104,0.0376026,0.0376026,0.0376026,0.0376026
3.2,0.02866973,0.03496661,0.03496661,0.03496661,0.03496661
3.4,0.02698327,0.03200908,0.03200908,0.03200908,0.03200908
3.5,0.02621232,0.02970809,0.02970809,0.02970809,0.02970809
3.6,0.02329336,0.02873521,0.02873521,0.02873521,0.02873521
3.8,0.01857058,0.02698323,0.02698323,0.02698323,0.02698323
4.0,0.01497847,0.02541211,0.02541211,0.02541211,0.02541211
4.2,0.01340981,0.02316554,0.02316554,0.02316554,0.02316554
4.4,0.01206738,0.02014749,0.02014749,0.02014749,0.02014749
4.6,0.01091797,0.01826296,0.01826296,0.01826296,0.01826296
4.8,0.00992697,0.01726025,0.01726025,0.01726025,0.01726025
5.0,0.00906105,0.01617229,0.01617229,0.01617229,0.01617229
5.5,0.00811593,0.01367777,0.01367777,0.01367777,0.01367777
6.0,0.00733945,0.01221505,0.01221505,0.01221505,0.01221505
6.5,0.00607343,0.01042647,0.01042647,0.01042647,0.01042647
7.0,0.00509684,0.00863383,0.00863383,0.00863383,0.00863383
7.5,0.00434631,0.00702956,0.00702956,0.00702956,0.00702956
8.0,0.00374462,0.00562513,0.00562513,0.00562513,0.00562513
8.5,0.00326369,0.004372,0.004372,0.004372,0.004372
9.0,0.00286697,0.00398898,0.00398898,0.00398898,0.00398898
9.5,0.00254053,0.00371849,0.00371849,0.00371849,0.00371849
10.0,0.00226526,0.00344004,0.00344004,0.00344004,0.00344004
11.0,0.0,0.00290603,0.00290603,0.00290603,0.00290603
12.0,0.0,0.00240779,0.00240779,0.00240779,0.00240779
13.0,0.0,0.00198401,0.00198401,0.00198401,0.00198401
14.0,0.0,0.00162799,0.00162799,0.00162799,0.00162799
15.0,0.0,0.0013378,0.0013378,0.0013378,0.0013378
20.0,0.0,0.00056359,0.00056359,0.00056359,0.00056359

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-20075 Horizontal-1 pSa (g),RSN-20075 Horizontal-2 pSa (g),RSN-20075 Vertical pSa (g)
0.01,0.00072766,0.00051171,0.000668
0.02,0.00072264,0.00051094,0.00066
0.022,0.00072307,0.00051242,0.000669
0.025,0.00072371,0.00051715,0.000686
0.029,0.00072485,0.00051856,0.000719
0.03,0.00072487,0.00051894,0.000726
0.032,0.00072596,0.00052143,0.000738
0.035,0.00072753,0.00052544,0.000744
0.036,0.00072763,0.00052489,0.000742
0.04,0.00072862,0.00051866,0.000823
0.042,0.00073019,0.00053001,0.000911
0.044,0.00073241,0.00054935,0.00109
0.045,0.00073324,0.0005501,0.00115
0.046,0.00073392,0.00055322,0.00118
0.048,0.00073265,0.00055445,0.00136
0.05,0.00073089,0.00055253,0.00175
0.055,0.00075034,0.0005964,0.00179
0.06,0.00076947,0.0006901,0.00184
0.065,0.00079208,0.00075237,0.00201
0.067,0.00081214,0.00074441,0.00207
0.07,0.00086618,0.00073353,0.00198
0.075,0.00089645,0.00069155,0.00174
0.08,0.00086629,0.00074128,0.00163
0.085,0.00101518,0.00084249,0.0015
0.09,0.0011208,0.00097356,0.00123
0.095,0.00122172,0.00097953,0.00132
0.1,0.00136181,0.00102323,0.00126
0.11,0.0017308,0.00119996,0.00152
0.12,0.0019252,0.00151059,0.00202
0.13,0.0021759,0.0017019,0.00183
0.133,0.00229205,0.00183431,0.00152
0.14,0.00206524,0.00220389,0.00143
0.15,0.00228709,0.00247328,0.00125
0.16,0.00239045,0.00241528,0.00126
0.17,0.0023066,0.00199834,0.0011
0.18,0.00218412,0.00176931,0.00128
0.19,0.00211499,0.00169466,0.00123
0.2,0.0023173,0.00172946,0.000917
0.22,0.00170196,0.00179618,0.00085
0.24,0.00157618,0.0013815,0.00101
0.25,0.00163422,0.00130535,0.00098
0.26,0.00150274,0.0012313,0.000905
0.28,0.00118326,0.00146529,0.00077
0.29,0.00105248,0.00141041,0.000773
0.3,0.00107568,0.00138012,0.000781
0.32,0.00116342,0.00102839,0.000794
0.34,0.00126566,0.00101405,0.00077
0.35,0.00137671,0.00094771,0.00088
0.36,0.00143367,0.00098667,0.000915
0.38,0.00146604,0.00090017,0.000802
0.4,0.00146728,0.00106904,0.000897
0.42,0.00144902,0.00115339,0.00113
0.44,0.00146393,0.0011212,0.00132
0.45,0.00162944,0.00106413,0.00132
0.46,0.0018238,0.00098849,0.00124
0.48,0.002169,0.00093872,0.0013
0.5,0.00243922,0.00120408,0.00116
0.55,0.00251772,0.00158151,0.000765
0.6,0.00196508,0.001274,0.00063
0.65,0.00128533,0.00097087,0.000601
0.667,0.00113924,0.00096653,0.000622
0.7,0.00144564,0.00096049,0.000631
0.75,0.00152276,0.00107314,0.00057
0.8,0.0012752,0.00112801,0.000457
0.85,0.00090446,0.00097105,0.000483
0.9,0.00089147,0.00063928,0.000414
0.95,0.00085531,0.00056248,0.000415
1.0,0.00084232,0.00055853,0.00047
1.1,0.00075332,0.00042294,0.000336
1.2,0.00060543,0.00048062,0.000313
1.3,0.00048488,0.00036479,0.000261
1.4,0.00049774,0.00039341,0.000298
1.5,0.00048212,0.00040083,0.000275
1.6,0.00048487,0.00031699,0.000319
1.7,0.00050402,0.00032102,0.000292
1.8,0.00055776,0.00027559,0.000311
1.9,0.00056404,0.00030954,0.000304
2.0,0.00051274,0.00026968,0.000257
2.2,0.00033853,0.00021442,0.000146
2.4,0.00028287,0.00022998,0.000157
2.5,0.00025105,0.00019179,0.000161
2.6,0.00021974,0.00019384,0.000164
2.8,0.00025236,0.00013741,0.000155
3.0,0.00026408,0.00012956,0.000139
3.2,0.00024702,0.00011749,0.000132
3.4,0.00022886,0.00010159,0.000109
3.5,0.00021593,8.593e-05,0.000106
3.6,0.00021165,7.573e-05,0.000106
3.8,0.00019946,6.906e-05,9.9e-05
4.0,0.00018633,6.927e-05,9.09e-05
4.2,0.00016979,6.334e-05,7.75e-05
4.4,0.00015108,4.49e-05,6.82e-05
4.6,0.00013749,3.882e-05,5.69e-05
4.8,0.00012916,3.935e-05,4.82e-05
5.0,0.00012165,3.474e-05,3.97e-05
5.5,0.00010398,2.524e-05,2.71e-05
6.0,9.327e-05,2.075e-05,1.98e-05
6.5,8.014e-05,1.516e-05,1.47e-05
7.0,6.638e-05,1.249e-05,1.11e-05
7.5,5.357e-05,1.243e-05,8.57e-06
8.0,4.248e-05,1.146e-05,7.46e-06
8.5,3.307e-05,8.73e-06,7.08e-06
9.0,3.03e-05,7.45e-06,6.63e-06
9.5,2.849e-05,5.89e-06,6.07e-06
10.0,2.65e-05,4.65e-06,5.44e-06
11.0,2.243e-05,3.67e-06,4.19e-06
12.0,1.863e-05,2.8e-06,3.67e-06
13.0,1.531e-05,2.52e-06,3.22e-06
14.0,1.256e-05,2.13e-06,2.78e-06
15.0,1.032e-05,1.76e-06,2.37e-06
20.0,4.31e-06,9.3e-07,1.16e-06
