
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2017-07-09


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 4.0
Magnitude Max:, 6.0
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 360.0
Vs30 Max (m/sec):, 760.0
D9-95 Min (sec):, 15.0
D9-95 Max (sec):, 60.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.01,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 215 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 30
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 215, 0.2209, 1.9187, -, 13.5, 27.1, 0.1, "Livermore-01", 1980, "San Ramon Fire Station", 5.8, strike slip, 15.84, 17.93, 384.47, 0.25, 1.9187, RSN215_LIVERMOR_A-SRM070.AT2, RSN215_LIVERMOR_A-SRM340.AT2 , RSN215_LIVERMOR_A-SRM-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-215 SRSS pSa (g)
0.01,0.15902141,0.12689083,0.12689083,0.12689083,0.12689083
0.02,0.19571865,0.12811258,0.12811258,0.12811258,0.12811258
0.022,0.20378672,0.12846295,0.12846295,0.12846295,0.12846295
0.025,0.21513252,0.12906665,0.12906665,0.12906665,0.12906665
0.029,0.22910027,0.12990445,0.12990445,0.12990445,0.12990445
0.03,0.2324159,0.13035624,0.13035624,0.13035624,0.13035624
0.032,0.24018692,0.13063465,0.13063465,0.13063465,0.13063465
0.035,0.25140973,0.13128958,0.13128958,0.13128958,0.13128958
0.036,0.25504499,0.1319321,0.1319321,0.1319321,0.1319321
0.04,0.26911315,0.13394167,0.13394167,0.13394167,0.13394167
0.042,0.27674115,0.13402234,0.13402234,0.13402234,0.13402234
0.044,0.2842155,0.13509716,0.13509716,0.13509716,0.13509716
0.045,0.28789818,0.13566457,0.13566457,0.13566457,0.13566457
0.046,0.29154607,0.13615231,0.13615231,0.13615231,0.13615231
0.048,0.29874172,0.13704739,0.13704739,0.13704739,0.13704739
0.05,0.3058104,0.13785801,0.13785801,0.13785801,0.13785801
0.055,0.3058104,0.14240548,0.14240548,0.14240548,0.14240548
0.06,0.3058104,0.15052419,0.15052419,0.15052419,0.15052419
0.065,0.3058104,0.16068172,0.16068172,0.16068172,0.16068172
0.067,0.3058104,0.16206438,0.16206438,0.16206438,0.16206438
0.07,0.3058104,0.16474858,0.16474858,0.16474858,0.16474858
0.075,0.3058104,0.17128449,0.17128449,0.17128449,0.17128449
0.08,0.3058104,0.18364188,0.18364188,0.18364188,0.18364188
0.085,0.3058104,0.20790781,0.20790781,0.20790781,0.20790781
0.09,0.3058104,0.22950416,0.22950416,0.22950416,0.22950416
0.095,0.3058104,0.27162328,0.27162328,0.27162328,0.27162328
0.1,0.3058104,0.30087856,0.30087856,0.30087856,0.30087856
0.11,0.3058104,0.31503719,0.31503719,0.31503719,0.31503719
0.12,0.3058104,0.22855806,0.22855806,0.22855806,0.22855806
0.13,0.3058104,0.2239252,0.2239252,0.2239252,0.2239252
0.133,0.3058104,0.24424172,0.24424172,0.24424172,0.24424172
0.14,0.3058104,0.27407047,0.27407047,0.27407047,0.27407047
