
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2017-07-09


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Kobe
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1106, -, 1.0, -, 4.3, 9.5, 8.4, "Kobe_ Japan", 1995, "Kobe", 6.9, strike slip, <1.00, <1.00, 312.0, 0.0625, 2.9467, RSN1106_KOBE_KJM000.AT2, RSN1106_KOBE_KJM090.AT2 , RSN1106_KOBE_KJM-UP.AT2 

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-8837 SRSS pSa (g)
0.01,0.15902141,0.18741548,0.18741548,0.18741548,0.18741548
0.02,0.19571865,0.18592112,0.18592112,0.18592112,0.18592112
0.022,0.20378672,0.18630637,0.18630637,0.18630637,0.18630637
0.025,0.21513252,0.18810464,0.18810464,0.18810464,0.18810464
0.029,0.22910027,0.18961555,0.18961555,0.18961555,0.18961555
0.03,0.2324159,0.19057742,0.19057742,0.19057742,0.19057742
0.032,0.24018692,0.18997902,0.18997902,0.18997902,0.18997902
0.035,0.25140973,0.19247046,0.19247046,0.19247046,0.19247046
0.036,0.25504499,0.1936558,0.1936558,0.1936558,0.1936558
0.04,0.26911315,0.19300532,0.19300532,0.19300532,0.19300532
0.042,0.27674115,0.19320795,0.19320795,0.19320795,0.19320795
0.044,0.2842155,0.18931415,0.18931415,0.18931415,0.18931415
0.045,0.28789818,0.18955095,0.18955095,0.18955095,0.18955095
0.046,0.29154607,0.18891549,0.18891549,0.18891549,0.18891549
0.048,0.29874172,0.19513179,0.19513179,0.19513179,0.19513179
0.05,0.3058104,0.20376691,0.20376691,0.20376691,0.20376691
0.055,0.3058104,0.19694573,0.19694573,0.19694573,0.19694573
0.06,0.3058104,0.20046369,0.20046369,0.20046369,0.20046369
0.065,0.3058104,0.20729762,0.20729762,0.20729762,0.20729762
0.067,0.3058104,0.20574941,0.20574941,0.20574941,0.20574941
0.07,0.3058104,0.20063725,0.20063725,0.20063725,0.20063725
0.075,0.3058104,0.22598663,0.22598663,0.22598663,0.22598663
0.08,0.3058104,0.22865256,0.22865256,0.22865256,0.22865256
0.085,0.3058104,0.22486585,0.22486585,0.22486585,0.22486585
0.09,0.3058104,0.23469628,0.23469628,0.23469628,0.23469628
0.095,0.3058104,0.24219896,0.24219896,0.24219896,0.24219896
0.1,0.3058104,0.2649755,0.2649755,0.2649755,0.2649755
0.11,0.3058104,0.33355635,0.33355635,0.33355635,0.33355635
0.12,0.3058104,0.35916531,0.35916531,0.35916531,0.35916531
0.13,0.3058104,0.40219486,0.40219486,0.40219486,0.40219486
0.133,0.3058104,0.42952208,0.42952208,0.42952208,0.42952208
0.14,0.3058104,0.4646466,0.4646466,0.4646466,0.4646466
0.15,0.3058104,0.41472331,0.41472331,0.41472331,0.41472331
0.16,0.3058104,0.34704357,0.34704357,0.34704357,0.34704357
0.17,0.3058104,0.34287157,0.34287157,0.34287157,0.34287157
0.18,0.3058104,0.3915077,0.3915077,0.3915077,0.3915077
0.19,0.3058104,0.42234665,0.42234665,0.42234665,0.42234665
0.2,0.3058104,0.45992199,0.45992199,0.45992199,0.45992199
0.22,0.3058104,0.44557684,0.44557684,0.44557684,0.44557684
0.24,0.3058104,0.39408818,0.39408818,0.39408818,0.39408818
0.25,0.3058104,0.37112214,0.37112214,0.37112214,0.37112214
0.26,0.3058104,0.34877417,0.34877417,0.34877417,0.34877417
0.28,0.3058104,0.30649858,0.30649858,0.30649858,0.30649858
0.29,0.3058104,0.29279241,0.29279241,0.29279241,0.29279241
0.3,0.3058104,0.28092757,0.28092757,0.28092757,0.28092757
0.32,0.28669725,0.25305889,0.25305889,0.25305889,0.25305889
0.34,0.2698327,0.24606409,0.24606409,0.24606409,0.24606409
0.35,0.2621232,0.25045294,0.25045294,0.25045294,0.25045294
0.36,0.254842,0.25685297,0.25685297,0.25685297,0.25685297
0.38,0.24142926,0.26295886,0.26295886,0.26295886,0.26295886
0.4,0.2293578,0.25896391,0.25896391,0.25896391,0.25896391
0.42,0.218436,0.25756789,0.25756789,0.25756789,0.25756789
0.44,0.20850709,0.25260278,0.25260278,0.25260278,0.25260278
0.45,0.2038736,0.25024545,0.25024545,0.25024545,0.25024545
0.46,0.19944156,0.25226416,0.25226416,0.25226416,0.25226416
0.48,0.1911315,0.27578494,0.27578494,0.27578494,0.27578494
0.5,0.18348624,0.26645539,0.26645539,0.26645539,0.26645539
0.55,0.16680567,0.25531395,0.25531395,0.25531395,0.25531395
0.6,0.1529052,0.3200897,0.3200897,0.3200897,0.3200897
0.65,0.14114326,0.31864823,0.31864823,0.31864823,0.31864823
0.667,0.13754591,0.30932425,0.30932425,0.30932425,0.30932425
0.7,0.1310616,0.29299788,0.29299788,0.29299788,0.29299788
0.75,0.12232416,0.26089352,0.26089352,0.26089352,0.26089352
0.8,0.1146789,0.25884758,0.25884758,0.25884758,0.25884758
0.85,0.10793308,0.24274636,0.24274636,0.24274636,0.24274636
0.9,0.1019368,0.23027393,0.23027393,0.23027393,0.23027393
0.95,0.0965717,0.21610564,0.21610564,0.21610564,0.21610564
1.0,0.09174312,0.21201874,0.21201874,0.21201874,0.21201874
1.1,0.08340284,0.16159319,0.16159319,0.16159319,0.16159319
1.2,0.0764526,0.15596472,0.15596472,0.15596472,0.15596472
1.3,0.07057163,0.1566416,0.1566416,0.1566416,0.1566416
1.4,0.0655308,0.11452569,0.11452569,0.11452569,0.11452569
1.5,0.06116208,0.10273149,0.10273149,0.10273149,0.10273149
